Tabelle 1;
Jahr;Importe
1;1 203 174
2;Super
3;1 104 141
4;1 088 720
5;1 031 013
6;954 917
7;949 245
8;910 145
9;890 393
10;899 405
11;Nan
12;797 097
13;664 615
14;805 842
15;769 887
16;733 994
17;628 087
18;575 448
19;Hallo
20;518 532
21;542 774
22;538 311
23;444 797
24;423 452
25;394 794
26;352 995
27;339 618
28;315 444
29;289 644
30;325 972
31;329 228
32;293 215
33;258 951
34;224 769
35;209 446
36;211 544
37;237 143
38;222 032
39;199 502
40;Nan
41;188 758
42;174 545
43;149 318
44;124 605
45;120 245
46;113 595
47;94 238
48;91 896
49;74 351
50;65 826
51;61 416
52;56 041
53;50 092
54;41 506
55;35 884
56;37 156
57;36 019
58;30 084
59;26 729
60;Hilfe 
61;22 682
62;21 844
63;18 316
64;15 918
65;16 206
66;14 298
67;12 512
68;9 887
69;8 186
70;8 284
Stand;
 13. Oktober 2022;
© Statistisches Bundesamt (Destatis), 2022;
